1	21881	7680
2	28223	21358
3	29249	28915
4	10394	10059
5	24470	17570
6	5977	24379
7	6150	27186
8	4608	29734
9	25505	10351
10	7904	847
11	27682	22489
12	24528	2767
13	4014	6913
14	7426	29994
15	6855	25266
16	25136	19017
17	3102	3467
18	29939	4041
19	25702	3407
20	6658	10814
21	16848	641
22	1389	5469
23	809	18288
24	26952	18041
25	593	25068
26	26646	3174
27	72	9587
28	589	24097
29	13526	18398
30	19734	22142
31	2584	871
32	8307	3772
33	28310	4949
34	17185	23078
35	20151	4341
36	7946	21331
37	24533	20376
38	28493	11392
39	26834	20686
40	29976	1709
41	11006	19790
42	8330	18032
43	7398	16157
44	15302	7327
45	19061	7371
46	21188	1997
47	24157	4790
48	28159	19238
49	24491	16632
50	8883	19799
51	11281	16897
52	9986	11140
53	20488	21467
54	19584	28062
55	20472	10446
56	281	26805
57	28389	23222
58	10084	4006
59	10079	17644
60	3271	24560
61	5547	27259
62	1721	17581
63	28322	10087
64	18160	14083
65	15244	23906
66	2524	8818
67	15999	9575
68	5405	25130
69	1869	9389
70	11186	25730
71	5734	25185
72	16767	10969
73	14584	29343
74	13124	2872
75	8119	7529
76	7564	21270
77	23852	2028
78	4555	2026
79	6076	12005
80	18122	10057
81	1964	27921
82	23549	9741
83	9989	9002
84	10541	391
85	10966	19659
86	4564	18083
87	4325	13483
88	7297	29587
89	14597	4875
90	29314	23616
91	22132	12950
92	5424	5012
93	19705	861
94	616	20076
95	9603	5853
96	5425	18503
97	15083	17854
98	11119	19169
99	18490	24424
100	6577	25865
101	28953	5303
102	2961	14542
103	16103	24143
104	18939	5202
105	13674	16484
106	11291	15999
107	4512	4403
108	17532	20955
109	19120	24758
110	21984	14929
111	24834	8762
112	26293	23509
113	3503	12454
114	15310	26977
115	3666	7585
116	29962	13893
117	7420	8223
118	6026	22475
119	28517	10578
120	10908	1070
121	26281	11625
122	29077	18313
123	7122	6621
124	9221	27860
125	28755	26925
126	8649	10086
127	2195	28597
128	9332	26318
129	7555	3459
130	21713	29805
131	22222	28854
132	14066	6978
133	7871	20489
134	281	27080
135	18635	10574
136	16617	26572
137	27129	12589
138	22993	29476
139	9456	26274
140	2153	9888
141	16567	4060
142	14693	15691
143	20909	3629
144	28453	167
145	14947	10023
146	20902	6386
147	10983	26989
148	8396	15776
149	10042	16069
150	8850	26720
151	20359	19120
152	2568	14345
153	12703	6262
154	26517	13259
155	8509	150
156	8643	25390
157	14995	26264
158	26382	29519
159	23214	14200
160	13915	14325
161	3699	23271
162	17396	9066
163	17542	26212
164	23515	18490
165	2664	19746
166	17566	15918
167	28365	14867
168	142	17573
169	6240	7759
170	25455	16518
171	28075	10197
172	14354	11853
173	23057	14379
174	20352	18667
175	6272	9268
176	3761	29222
177	22213	13949
178	19677	7160
179	28532	5870
180	12843	20113
181	7191	29220
182	25864	344
183	14479	8999
184	24570	21037
185	25268	28415
186	5654	17477
187	4929	15545
188	11247	7173
189	18560	14245
190	28569	1767
191	195	25991
192	22713	9778
193	24586	3657
194	11438	15108
195	8480	3263
196	2579	2399
197	23280	4051
198	28532	865
199	3534	2869
200	20596	1988
